Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Price_Chng,Current_Age,Gas_Money,CC_to_L
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967,245.0,7.0,1.04,62.67,-61.63,6,7662.29,2.967
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.12,7.15,1.97,7,2148.15,1.248
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995,190.0,5.0,58.67,25.99,32.68,8,1637.49,1.995
351,Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984,227.0,5.0,28.37,2.05,26.32,18,8027.68,1.984
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07,998,67.1,5.0,4.48,3.75,0.73,6,1445.78,0.998
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999,177.0,5.0,72.64,52.0,20.64,6,1260.22,1.999
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.67,1798,177.46,5.0,36.15,27.3,8.85,4,1087.02,1.798
365,Mini Clubman Cooper S,Pune,2017,8350,Petrol,Manual,First,13.8,1998,192.0,5.0,44.59,35.0,9.59,6,701.88,1.998
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248,88.5,5.0,12.0,9.49,2.51,6,1861.73,1.248
380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,Petrol,Automatic,First,16.0,1497,117.3,7.0,14.65,9.48,5.17,6,2586.51,1.497
389,Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999,246.74,5.0,53.72,34.5,19.22,6,773.33,1.999
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,Diesel,Automatic,First,13.5,2477,175.56,7.0,33.91,28.0,5.91,5,1031.11,2.477
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995,190.0,5.0,60.88,25.5,35.38,8,2185.66,1.995
414,Honda BR-V i-VTEC S MT,Pune,2017,9000,Petrol,Manual,First,15.4,1497,117.3,7.0,12.51,8.5,4.01,6,677.92,1.497
417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.19,1197,81.86,5.0,9.74,6.9,2.84,6,2716.11,1.197
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,Petrol,Automatic,First,11.5,2996,367.0,5.0,95.38,70.99,24.39,5,2259.18,2.996
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,15.26,1798,187.74,5.0,60.59,24.5,36.09,7,3572.74,1.798
427,Mini Cooper Convertible S,Mumbai,2014,11900,Petrol,Automatic,First,16.82,1998,189.08,4.0,44.28,28.5,15.78,9,820.69,1.998
442,Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.96,2523,62.1,7.0,11.28,7.7,3.58,7,6014.85,2.523
446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Petrol,Manual,Second,16.09,1598,103.5,5.0,11.48,7.1,4.38,6,1081.42,1.598
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.1,1248,88.5,5.0,11.26,8.92,2.34,5,597.24,1.248
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968,181.0,5.0,43.65,20.37,23.28,7,6625.23,1.968
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995,190.0,5.0,62.07,36.5,25.57,7,1025.4,1.995
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950,191.34,5.0,86.97,51.43,35.54,5,2430.94,1.95
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0,2987,258.0,7.0,1.0,56.0,-55.0,6,13603.64,2.987
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998,67.04,5.0,4.74,3.3,1.44,11,1546.67,0.998
519,Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8,1591,121.3,5.0,14.84,8.0,6.84,7,5097.69,1.591
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950,181.43,5.0,49.49,38.99,10.5,4,inf,1.95
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995,190.0,5.0,48.18,29.4,18.78,6,1775.06,1.995
555,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47,1248,88.5,7.0,12.34,6.75,5.59,10,4782.1,1.248
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498,108.4,5.0,15.38,10.5,4.88,6,1701.85,1.498
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.21,17.0,2.21,7,10231.69,2.755
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956,170.0,5.0,22.95,19.0,3.95,5,1967.25,1.956
573,Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523,62.1,7.0,11.15,6.0,5.15,11,7631.58,2.523
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498,88.0,5.0,10.32,8.12,2.2,5,1932.83,1.498
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755,171.5,7.0,28.05,24.82,3.23,4,4153.33,2.755
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143,170.0,5.0,59.77,48.5,11.27,5,648.24,2.143
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498,108.5,5.0,15.86,9.45,6.41,7,1348.84,1.498
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393,147.8,8.0,19.43,17.5,1.93,6,4409.36,2.393
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3,1248,88.5,5.0,10.65,8.9,1.75,7,1029.11,1.248
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496,113.98,5.0,42.12,29.5,12.62,7,616.43,1.496
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179,154.0,7.0,16.95,11.25,5.7,6,3043.97,2.179
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9,1498,98.6,7.0,15.45,10.79,4.66,6,1708.17,1.498
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197,81.8,5.0,7.87,5.7,2.17,6,388.7,1.197
654,Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998,67.1,5.0,4.7,2.75,1.95,12,3101.54,0.998
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497,117.3,7.0,15.02,9.25,5.77,6,1305.0,1.497
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248,88.5,5.0,12.56,11.31,1.25,6,864.41,1.248
671,Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498,99.6,5.0,11.33,5.43,5.9,10,2465.76,1.498
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393,147.8,7.0,26.45,18.75,7.7,6,5494.57,2.393
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197,81.8,5.0,10.34,8.5,1.84,6,685.45,1.197
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186,73.97,5.0,7.46,4.9,2.56,6,676.67,1.186
732,Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497,117.3,5.0,11.85,5.7,6.15,9,3721.2,1.497
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248,88.5,7.0,10.41,7.75,2.66,6,2912.02,1.248
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998,67.04,5.0,5.57,3.2,2.37,9,1768.32,0.998
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496,113.98,5.0,42.48,23.5,18.98,9,3362.32,1.496
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497,117.3,5.0,16.04,10.65,5.39,8,1221.54,1.497
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199,88.7,5.0,9.1,8.46,0.64,5,1276.25,1.199
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498,99.0,5.0,7.65,2.5,5.15,8,3276.89,1.498
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5.0,13.74,10.9,2.84,7,1541.77,1.591
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,67.04,5.0,5.72,4.32,1.4,8,3742.88,0.998
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179,155.0,7.0,21.33,17.63,3.7,4,1628.47,2.179
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5.0,78.76,56.0,22.76,7,1360.89,2.143
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5.0,10.34,8.5,1.84,5,508.03,1.498
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998,67.1,5.0,4.29,2.3,1.99,9,2361.45,0.998
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498,108.62,5.0,10.04,6.45,3.59,6,2731.3,1.498
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7.0,11.67,7.5,4.17,7,17788.87,2.179
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393,147.8,7.0,25.52,18.6,6.92,6,3663.16,2.393
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186,73.97,5.0,8.56,5.9,2.66,5,1155.52,1.186
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7.0,27.0,19.92,7.08,5,4261.77,2.755
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999,67.0,5.0,4.78,3.25,1.53,6,3381.75,0.999
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998,67.04,5.0,6.14,5.0,1.14,6,376.62,0.998
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197,81.8,5.0,7.3,2.7,4.6,12,2461.68,1.197
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799,53.64,5.0,4.37,2.66,1.71,7,1046.91,0.799
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196,73.0,7.0,4.98,3.61,1.37,11,4352.77,1.196
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497,117.3,5.0,15.29,8.65,6.64,8,1933.33,1.497
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,170.0,5.0,24.26,20.0,4.26,6,3700.61,1.956
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999,177.0,5.0,75.12,59.72,15.4,5,2324.96,1.999
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,74.0,5.0,9.53,6.5,3.03,7,1228.19,1.248
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7.0,34.6,12.49,22.11,10,11342.22,2.477
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7.0,26.45,18.39,8.06,5,7805.92,2.393
954,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498,98.6,5.0,11.15,6.21,4.94,7,1614.65,1.498
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950,194.0,5.0,52.26,39.5,12.76,5,inf,1.95
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,190.0,5.0,70.43,17.5,52.93,11,3160.07,1.995
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799,53.3,5.0,4.8,4.45,0.35,5,87.56,0.799
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498,98.96,5.0,12.12,11.65,0.47,4,1167.77,1.498
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393,147.8,7.0,19.37,16.5,2.87,6,5722.75,2.393
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498,108.5,5.0,12.14,5.39,6.75,9,3184.27,1.498
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755,174.5,7.0,36.69,13.28,23.41,10,8559.24,2.755
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368,160.0,5.0,23.68,17.75,5.93,6,290.0,1.368
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968,187.74,5.0,55.61,25.0,30.61,8,2860.27,1.968
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497,121.36,5.0,14.1,12.41,1.69,5,1440.99,1.497
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248,88.5,5.0,13.26,7.94,5.32,7,3448.16,1.248
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7.0,28.05,20.5,7.55,7,11028.17,2.755
1072,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7.0,11.27,7.0,4.27,7,5920.69,1.248
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248,88.5,5.0,11.2,10.49,0.71,4,1655.89,1.248
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193,88.7,5.0,8.56,3.95,4.61,9,2640.87,1.193
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.46,6.5,2.96,6,1670.78,1.248
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497,115.0,5.0,12.79,7.25,5.54,11,5626.0,1.497
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0,1582,126.2,5.0,15.57,6.01,9.56,9,4725.1,1.582
1103,Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179,153.86,7.0,19.86,12.0,7.86,6,3625.0,2.179
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199,84.0,5.0,6.59,5.88,0.71,5,465.41,1.199
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5.0,86.97,51.35,35.62,5,1882.33,1.95
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5.0,42.12,22.0,20.12,9,1905.31,1.496
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197,81.86,5.0,6.54,5.0,1.54,6,519.91,1.197
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7.0,26.56,19.75,6.81,7,7045.77,2.755
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5.0,15.05,11.44,3.61,6,1780.84,1.461
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523,62.1,7.0,11.01,3.5,7.51,7,2939.83,2.523
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248,88.5,5.0,11.0,10.46,0.54,5,3076.91,1.248
1149,Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199,88.76,5.0,7.55,5.68,1.87,7,3073.82,1.199
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197,81.86,5.0,7.82,5.98,1.84,6,1227.51,1.197
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9,1197,81.86,5.0,6.32,4.77,1.55,5,3083.14,1.197
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591,121.3,5.0,15.14,7.2,7.94,8,2770.35,1.591
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582,126.2,5.0,15.72,5.9,9.82,10,4587.27,1.582
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969,190.0,5.0,45.67,25.0,20.67,8,2188.68,1.969
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995,190.0,5.0,54.7,14.0,40.7,11,3323.05,1.995
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393,147.8,7.0,22.87,20.4,2.47,6,2068.41,2.393
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999,75.0,5.0,6.74,5.68,1.06,4,61.77,0.999
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477,175.56,7.0,33.09,12.75,20.34,10,5069.63,2.477
